"Référence";"ContexteGauche";"Pivot";"ContexteDroit"
"AB17911219";"zu den kleinen Bedürfnissen eines Ihnen so fremden";"Weltbürgers";"herabstiegen legen mir gegen Sie die persönlichsten Pflichten auf und mischen in"
"AB17930713";"ein anderes wirken. Man ist ebenso gut";"Zeitbürger";", als man Weltbürger, Staatsbürger, Hausvater ist. Wenn es"
"AB17930713";"Man ist ebenso gut Zeitbürger, als man";"Weltbürger";", Staatsbürger, Hausvater ist. Wenn es unschicklich und unerlaubt gefunden"
"AB17930713";"ebenso gut Zeitbürger, als man Weltbürger,";"Staatsbürger";", Hausvater ist. Wenn es unschicklich und unerlaubt gefunden wird,"
"AB17930713";", so wie er, als Mensch und";"Weltbürger";"zugleich Parthey ist, und in den Erfolg sich verflochten sieht."
"AB17930713";"Gegenstandes mit einem ebenso geistreichen Denker als humanen";"Weltbürger";"einzulassen, der mit schönem Enthusiasmus das große Ganze der Menschheit umreicht"
"AB17930713";"der Philosoph sich verwendet, die der edle";"Weltbürger";"in Gedanken hat, und an welcher ein neuerer Solon seine Ideen"
"AB17930713";"zeugt, und so lange die Tendenz der";"Staatsbürger";"nur auf das physische Wohlseyn beschränkt ist, so lange, fürchte"
"AB17940610";", muß jeden Freund Dänemarks und überhaupt jeden";"Weltbürger";"wieder mit den Beschlüssen der Vorsehung versöhnen ; denn die Liebe eines"
"AB17950120";". Wie würde ich das Geschick meiner deutschen";"Mitbürger";"preisen, wenn es überal einer solchen Fürstenhand anvertraut wäre, und"
"BAEST02";"gearbeitet haben. Man ist eben so gut";"Zeitbürger";", als man Staatsbürger ist ; und wenn es unschicklich, ja"
"BAEST02";"ist eben so gut Zeitbürger, als man";"Staatsbürger";"ist ; und wenn es unschicklich, ja unerlaubt gefunden wird,"
"BAEST02";"betrachten, so wie er als Mensch und";"Weltbürger";"zugleich Parthey ist, und näher oder entfernter in den Erfolg sich"
"BAEST02";"mit einem eben so geistreichen Denker als liberalen";"Weltbürger";"in Untersuchung zu nehmen, und einem Herzen, das mit schönem"
