"Référence";"ContexteGauche";"Pivot";"ContexteDroit"
"txm-AB, AB17911219";"selbst in Rücksicht meiner vereinigt haben. Der";"Anlaß bey welchem ich mir diese Freiheit";"nehme, ist an sich selbst schon eine so überraschende Ausnahme von"
"txm-AB, AB17911219";"selbst in den Fesseln der höchsten Verpflichtung mit";"völliger Freiheit";"des Gefühls vor Ihnen erscheinen. Nicht an Sie, sondern an"
"txm-AB, AB17911219";"mir auferlegen. Ich verliere durch sie die";"süße Freiheit";", meiner Bewunderung Sprache zu geben, und eine so uneigennützig schöne"
"txm-AB, AB17930209";"Vortrefflichsten, danke ich das lang gewünschte und";"unschätzbare Glück, dem freien";"Hange meines Geistes folgen zu können ? Aber meine immer wiederkehrenden Zufälle"
"txm-AB, AB17930209";", die Kunst selbst auszuüben, wozu ein";"frischer und freier";"Geist gehört, hat mir eine günstige Muße verschafft, über ihre"
"txm-AB, AB17930209";"Reihe von Briefen an Sie richten und Ihnen";"Stückweise zusenden zu dürfen. Diese freiere";"Form wird dem Vortrage derselben mehr Individualität und Leben, und der"
"txm-AB, AB17930713";"erhöht mein Vertrauen, da gerade dies der";"einzige Fehler ist, von dem ich frey";"zu bleiben hoffe. Ihre liberale Art zu denken verschafft mir die"
"txm-AB, AB17930713";"Ihre liberale Art zu denken verschafft mir die";"glückliche Freiheit";", unabhängig von jedem System bloß meiner eigenen Ueberzeugung zu folgen."
"txm-AB, AB17930713";"folgen. Das Reich der Vernunft ist ein";"Reich der Freiheit";", und keine Knechtschaft ist schimpflicher, als die man auf diesem"
"txm-AB, AB17930713";"darauf niederlassen, beweisen, daß sie nicht";"frey geboren, blos frey";"gelassen sind. [4] Sollte ich indessen, bey noch"
"txm-AB, AB17930713";"Gegenwart erheben, denn die Kunst ist eine";"Tochter der Freiheit";". Jetzt aber herrscht das Bedürfniß, und der Drang der physischen"
"txm-AB, AB17930713";"und ihn je mehr und mehr mit der";"unidealischen Wirklichkeit verstricken, hemmt freien";"Aufflug in die Regionen des Idealischen. Selbst die speculirende Vernunft entreißt"
