"Référence";"ContexteGauche";"Pivot";"ContexteDroit"
"AB17930209";"die Grundsätze der kritischen Philosophie auch auf den";"Geschmack";"anzuwenden, und zu einer neuen Kunsttheorie die Fundamente, wo nicht"
"AB17930209";"Gesetze der Vernunft müssen auch die Gesetze des";"Geschmacks";"seyn. Der Umstand freilich, daß wir die Schönheit fühlen und"
"AB17930209";"Bandes zu bemächtigen suche, welches Philosophie und";"Geschmack";", alles Anstandes der Verhältnisse ungeachtet, zwischen den Freunden der Weisheit"
"AB17930713";"würdig sind, daß ich die Vorschriften des";"Geschmacks";"in demselben Moment verletze, wo ich den Beweis für ihre Gültigkeit"
"AB17930713";"sich in der Wahl seiner Thätigkeit nach dem";"Geschmack";"und dem Bedürfniß des Zeitalters zu richten ? Was an sich gut"
"AB17930713";"meiner Meinung nach, dem Zeitbedürfniß und dem";"Zeitgeschmack";"eine entscheidende Stimme. Nun scheint aber diese Stimme keineswegs zum Vortheil"
"AB17930713";"Gnädigster Prinz, wo die Kunst und der";"Geschmack";"ihre bildende Hand an den Menschen legen, und ihren veredelten Einfluß"
"AB17930713";"Jahrhunderts sich anschmiegt. Wenn sich der beurtheilende";"Geschmack";"zum Gemeinen und Schlechten wendet, so nimmt auch der hervorbringende nicht"
"AB17930713";"wandelbaren Formen eines zufälligen und oft ganz entarteten";"Zeitgeschmacks";", sondern in dem Nothwendigen und Ewigen der menschlichen Natur, in"
"AB17930713";"sowohl vor dem Despotismus eines lokalen und einseitigen";"Geschmacks";", als vor der Anarchie eines verwilderten (vor Barbarey) sicher"
"AB17930713";"die, ewig unerreicht, jeden Wechsel des";"Modegeschmacks";"überdauern werden. Aber ein Gesetzbuch ist es, woran es ihr"
"AB17931111";"Indem ich behaupte, daß die Kultur des";"Geschmacks";"diesem Uebel abhelfe, und das wirksamste Mittel sey, die Gebrechen"
"AB17931111";"wissenschaftlichen beständig zur Seite gehen muß. Der";"Geschmack";"allein vermehrt unser Wissen nicht, berichtigt unsre Begriffe nicht, lehrt"
"AB17931111";"gegenwärtigen Zeitalters angegeben, und die Kultur des";"Geschmacks";"als das wirksamste Mittel vorgestellt, diesem doppelten Uebel zu begegnen."
"AB17931111";"doppelten Uebel zu begegnen. Wie ein kultivierter";"Geschmack";"diese Wirkung leisten kann, das ist es, Gnädigster Prinz,"
"AB17931111";"und neuer Zeit, die ihre Vernachlässigung des";"Geschmacks";"durch eine traurige Verwilderung büßen. Aber so sehr auch diese Erfahrungen"
"AB17931111";"deswegen sehr geneigt waren, den Künsten des";"Geschmacks";"den Eintritt in ihre Republik zu verweigern. Und in der That"
"AB17931111";"Mitiade, Aristiden und Epaminondasse zählte, waren";"Geschmack";"und Kunst noch in ihrer Kindheit ; als unter Perikles und Alexandern"
"AB17931111";"Person seines vierzehnten Ludwigs zugleich den Wiederhersteller des";"Geschmacks";"verehrt und den fruchtbarsten Unterdrücker seiner Freiheit verabscheut. Wo wir nur"
"AB17931111";"hinsehen in der Geschichte finden wir, daß";"Geschmack";"und Freiheit einander fliehen, und die Kunst nur auf dem Grabe"
"AB17931111";"an dem wäre, daß die Kultur des";"Geschmacks";"nothwendig damit erkauft werden müßte, so hätte man in der That"
"AB17931111";"die Verächter desselben, um die Künste des";"Geschmacks";"als die schlimmsten Feinde der Menschheit zu verschreyen, und diese Beschuldigung"
"AB17931111";"zum Beweis davon läßt sie uns den barbarischen";"Geschmack";"und die Rohigkeit bemerken, wodurch sich die Grazien an ihren Feinden"
"AB17931111";"nur das genaueste Gleichgewicht beider Empfindungsarten vollendet den";"Geschmack";". Die bloße Empfänglichkeit für das Erhabene reicht bey weitem nicht hin"
"AB17931111";"und ebenso wenig kann eine einseitige Richtung des";"Geschmacks";"zu dem Schönen ihn vor Weichlichkeit schützen. Vielmehr lehrt die Erfahrung"
"AB17931111";"Gesichtspunkt eröffnet, aus welchem das Verhältniß des";"Geschmacks";"und der Künste zu der Menschheit im Ganzen gewürdigt werden muß."
"AB17931111";"Meine Achtung gegen denjenigen steigt, der da";"Geschmack";"beweist, wo ein andrer blos ein Bedürfniß befriedigt. Also schon"
"AB17931111";"unmittelbarem Genuß. Wenn sich der Mann von";"Geschmack";"an diesem Anblick ergötzt, so genügt ihm an der bloßen Betrachtung"
"AB19931121";"Schöne. Freilich nur schön für seinen barbarischen";"Geschmack";", aber hier kommt es ja nicht auf den Innhalt, sondern"
"AB19931121";"einen anfangenden, wenn gleich noch so grotesken";"Geschmack";". Das Schöne des Wilden ist immer das Seltsame, das Seltsame"
"AB19931121";"fallen ; denn so pflegt sich der erste";"Geschmack";"anzukündigen. Er, der auf der ersten Stufe vorlieb nahm,"
"AB19931121";"der Einfalt der Natur, ins Abentheuerliche,";"Abgeschmackte";"und Widersinnige fallen, so sind sie doch eben deswegen, weil"
"AB19931121";"ist der Geist aller Gottesverehrung, ehe der";"Geschmack";"die Gemüther in Freiheit setzt. Es ist blos ihre Macht,"
