"Référence";"ContexteGauche";"Pivot";"ContexteDroit"
"AB17911219";"diese keine der geringsten, daß sie die";"glückliche";"Zeit verzögert, wo mich der lebendige Anblick und Umgang mit tausend"
"AB17911219";"aus unsichtbarer Ferne, wie die Gottheit,";"beglücken";", und, wie diese, meinem Dank unerreichbar sind. In"
"AB17930209";", danke ich das lang gewünschte und unschätzbare";"Glück";", dem freien Hange meines Geistes folgen zu können ? Aber meine"
"AB17930209";"zu erstrecken, als einige Augenblicke Ihres zum";"Gluck";"der Welt gewidmeten Lebens mit meinen philosophisch-poetischen Visionen zuweilen beschäftigen zu dürfen"
"AB17930713";"nicht verläugnen, und, wenn sie je";"verunglücken";"sollte, eher in den Untiefen und in den Strudeln der poetisirenden"
"AB17930713";"Ihre liberale Art zu denken verschafft mir die";"glückliche";"Freiheit, unabhängig von jedem System bloß meiner eigenen Ueberzeugung zu folgen"
"AB17930713";"den Tag gebracht, und nicht nur dieses";"unglückliche";"Volk, sondern mit ihm auch einen beträchtlichen Theil Europens, und"
"AB17930713";"unterdessen von manchem abgestellten Mißbrauch, von mancher";"glücklich";"versuchten Reform im Einzelnen, von manchem Sieg der Vernunft über das"
"AB17930713";"auf. Damit aber der Kunst nicht das";"Unglück";"begegne, zur Nachahmung des Zeitgeistes herunter zu sinken, den sie"
"AB17931111";"bessere Natur in ihm regen soll. Diese";"unglückliche";"Menschenklasse, welche ihre besten Kräfte im Ringen mit der physischen Noth"
"AB17931111";"zu sehen, die das morsche Gebäude ihrer";"Glückseligkeit";"tragen. Wie viele Menschen giebt es, deren ganzes Lebensglück auf"
"AB17931111";"Wie viele Menschen giebt es, deren ganzes";"Lebensglück";"auf einem Vorurtheil ruhet, das bey dem ersten ernsthaften Angriff des"
"AB17931111";"Talents prunken, und im Wahn einer Wichtigkeit";"glücklich";"sind, die keine Probe aushalten würde. Alle diese Menschen müßten"
"AB17931203";"nicht auf, frey zu heißen, weil";"glücklicherweise";"derjenige sich ruhig verhält, der sie hätte einschränken können ; sobald"
"AB17931203";"das Prädikat einer sittlichen noch nicht, weil";"glücklicherweise";"die Versuchung fehlen, die sie hätten rückgängig machen können ; sobald"
"AB17931203";"was geschehen seyn würde, wenn Alexius nicht";"glücklicherweise";"sich noch ermuntert hätte. Hier, Gnädigster Prinz, war nun"
"AB17931203";"dem stürmischen Strom überlassen sollte, damit einige";"Unglückliche";"gerettet würden, die ohne ihn hülflos waren – und als er"
"AB17931203";", und diese Wenigen auch nur in ihren";"glücklichsten";"Momenten, fähig sind, so werden wir wohl thun, für"
"AB17940610";"im Stand ist. Die Nachricht von dem";"unglücklichen";"Brande in Kopenhagen, der die königliche Burg in die Asche legte"
"AB17940610";"ich mir wohl vorstellen konnte, daß dieses";"Unglück";"auch Eure Durchlaucht sehr nahe mit betreffen mußte. Bey dem weisen"
"AB17940610";"jeder Verlust, den Sie erleiden, ein";"Unglück";"für Tausende. Daß aber dieses physische Uebel so viele moralisch gute"
"AB17940610";"und jede Empfindung meines Herzens niederlegen : ein";"Glück";", um welches ich Baggesen oft und vielmals beneidet habe. Mit"
"AB17950120";"der Menschheit Beziehung hat, habe ich die";"glückliche";"Veränderung vernommen, welche Euer Durchlaucht einen Ihrem hohen Verdienste gebührenden und"
"AB17950120";"man sich alsdann für die Erfüllung aller der";"Volksglückseligkeit";"verbürgen, welche bis jetzt leider nur eine Idee der Philosophen und"
"AB17950120";"damit umging, eine Abschrift meiner in Kopenhagen";"verunglückten";"Briefe zu besorgen, drangen sich mir so viele Unvollkommenheiten darinn auf"
"AB17950304";"Fortsetzung dieser Schrift, der ich kein höheres";"Glück";"wünschen kann, als daß sie Ihres Beyfalls würdig seyn möge,"
"AB17950405";"Weltmann mit Recht verlangt. Es ist das";"Unglück";"der Deutschen, daß man ihre Sprache nicht gewürdigt hat, das"
"AB17960109";". Die große Schwierigkeit, zwischen beyden Klippen";"glücklich";"vorbey zu kommen, wird die Mängel unserer Arbeit einigermaßen entschuldigen."
"AB17960205";", und Ihrem edeln Freunde danke ich dieses";"Glück";". Mit gerührtem Herzen schreibe ich dieses nieder und das tiefe Gefühl"
"BAEST01";"sprechen, der mit dem beßten Theil unsrer";"Glückseligkeit";"in einer unmittelbaren, und mit dem moralischen Adel der menschlichen Natur"
"BAEST06";"außerordentliche, aber nur die gleichförmige Temperatur derselben";"glückliche";"und vollkommene Menschen erzeugen. Und in welchem Verhältniß stünden wir also"
"BAEST08";"diesen Fall in Bereitschaft halten. Wenn diese";"unglücklichen";"Menschen unser Mitleiden verdienen, so trifft unsere gerechte Verachtung die andern"
"BAEST08";"soll, haben sie den ganzen Bau ihres";"Glücks";"gegründet, und sie sollten eine Wahrheit so theuer kaufen, die"
"BAEST09";"und dem Gesetz, nicht niederwärts nach dem";"Glück";"und nach dem Bedürfniß. Gleich frey von der eiteln Geschäftigkeit,"
"BAEST09";"der moralischen Welt umzubilden. Dringend spricht das";"Unglück";"seiner Gattung zu dem fühlenden Menschen, dringender ihre Entwürdigung ; der"
"BAEST09";"den standhaften Muth, mit dem du ihr";"Glück";"verschmähest, wirst du ihnen beweisen, daß nicht deine Feigheit sich"
"BAEST09";"Würde, aber auf ihren Unwerth berechne ihr";"Glück";", so wird dein eigner Adel dort den ihrigen aufwecken und ihre"
"BAEST10";"morgenländische Üppigkeit entmannt, unter das Joch eines";"glücklichen";"Dynasten sich beugen, ehe wir die griechische Kunst über die Rigidität"
"BAEST14";"heißt, es ist zufällig, ob unsere";"Glückseligkeit";"mit unsrer Vollkommenheit, oder ob diese mit jener übereinstimmen werde."
"BAEST14";"materiale Beschaffenheit, zugleich unsre Vollkommenheit und unsre";"Glückseligkeit";"zufällig machen ; er wird also, eben weil er beyde zufällig"
"BAEST15";"das Gemüth bey Anschauung des Schönen in einer";"glücklichen";"Mitte zwischen dem Gesetz und Bedürfniß befindet, so ist es eben"
"BAEST16";"sich die Tugend, die Wahrheit, die";"Glückseligkeit";"; aber der handelnde Mensch wird bloß Tugenden üben, bloß Wahrheiten"
"BAEST16";"Tugenden üben, bloß Wahrheiten fassen, bloß";"glückselige";"Tage geniessen. Diese auf jene zurück zu führen – an die"
"BAEST16";"Kenntnisse die Erkenntniß, an die Stelle des";"Glückes";"die Glückseligkeit zu setzen, ist das Geschäft der physischen und moralischen"
"BAEST16";"Erkenntniß, an die Stelle des Glückes die";"Glückseligkeit";"zu setzen, ist das Geschäft der physischen und moralischen Bildung ;"
"BAEST22";"wahre ästhetische Freiheit duldet, weil auch das";"glücklichste";"Gedicht von dem willkürlichen und zufälligen Spiele der Imagination, als seines"
"BAEST22";", so wird er sich auch bei dem";"glücklichsten";"Ganzen nur an die Theile und bei der schönsten Form nur an"
"BAEST23";"zu bestimmen haben ; aber im Bezirke der";"Glückseligkeit";"darf Form sein und darf der Spieltrieb gebieten. Also hier schon"
"BAEST24";"beruht auf einer geschickten Aufhebung dieses Unterschieds seine";"Glückseligkeit";". Die Kultur, welche seine Würde mit seiner Glückseligkeit in Uebereinstimmung"
"BAEST24";"Die Kultur, welche seine Würde mit seiner";"Glückseligkeit";"in Uebereinstimmung bringen soll, wird also für die höchste Reinheit jener"
"BAEST24";"anwendet. Früchte dieses Baumes sind alle unbedingten";"Glückseligkeitssysteme";", sie mögen den heutigen Tag oder das ganze Leben oder,"
"BAEST24";"zu gewinnen, verliert er dadurch bloß die";"glückliche";"Beschränktheit des Thiers, vor welchem er nun bloß den unbeneidenswerthen Vorzug"
"BAEST24";", einen positiven Ursprung, und durch den";"unglückseligsten";"aller Irrthümer macht er das Unveränderliche und Ewige in sich zu einem"
"BAEST26";"Geist, empfangende und bildende Kraft in dem";"glücklichen";"Gleichmaß entwickeln, welches die Seele der Schönheit und die Bedingung der"
"BAEST27";"Gattung. Das sinnliche Gute kann nur einen";"Glücklichen";"machen, da es sich auf Zueignung gründet, welche immer eine"
"BAEST27";"; es kann diesen Einen auch nur einseitig";"glücklich";"machen, weil die Persönlichkeit nicht daran Theil nimmt. Das absolut"
"BAEST27";". Das absolut Gute kann nur unter Bedingungen";"glücklich";"machen, die allgemein nicht vorauszusetzen sind ; denn die Wahrheit ist"
"BAEST27";"nur ein reines Herz. Die Schönheit allein";"beglückt";"alle Welt, und jedes Wesen vergißt seiner Schranken, so lang"
