"moot-lemma";"F"
"Mensch";303
"Natur";197
"Freiheit";151
"Vernunft";141
"Schönheit";139
"Form";135
"Kraft";121
"Zeit";109
"Zustand";104
"Menschheit";103
"Geist";102
"Geschmack";102
"Gesetz";96
"Kunst";88
"Empfindung";83
"Wahrheit";80
"Bedürfnis";70
"Begriff";70
"Brief";67
"Welt";67
"Gefühl";66
"Schein";65
"Charakter";64
"Trieb";64
"Erfahrung";63
"Materie";61
"Schöne";61
"Gemüt";60
"Leben";60
"Gegenstand";59
"Sinn";56
"Verstand";55
"Willen";54
"Stoff";53
"Kultur";52
"Idee";49
"Fall";48
"Durchlaucht";47
"Staat";46
"Notwendigkeit";45
"Realität";45
"Teil";44
"Prinz";43
"Tätigkeit";43
"Wirkung";43
"Herz";42
"Person";42
"Ganze";41
"Vermögen";41
"Wesen";41
"Einheit";39
"Gestalt";39
"Schranke";39
"Bestimmung";38
"Grund";38
"Objekt";38
"Tugend";38
"Erscheinung";37
"Grenze";37
"Individuum";37
"Wirklichkeit";37
"Handlung";36
"Sinnlichkeit";35
"Weg";35
"Art";34
"Grundsatz";34
"Macht";33
"Erkenntnis";32
"Inhalt";32
"Spiel";32
"Dasein";31
"Veränderung";31
"Gesellschaft";30
"Ideal";30
"Pflicht";30
"Ding";28
"Hand";28
"Zeitalter";28
"Formtrieb";27
"Gattung";27
"Gedanke";27
"Genuß";27
"Zweck";27
"Denken";26
"Verhältnis";25
"Volk";25
"Einbildungskraft";24
"Jahrhundert";24
"Neigung";24
"Persönlichkeit";24
"Recht";24
"Reich";24
"Wort";24
"Würde";24
"Einfluß";23
"Gebiet";23
"Grad";23
"Sachetrieb";23
"Stand";23
"Bedingung";22
"Geschäft";22
"Sinnen";22
"Tat";22
"Vorstellung";22
"Werk";22
"Begierde";21
"Energie";21
"Philosophie";21
"Subjekt";21
"Untersuchung";21
"Urteil";21
"Anlage";20
"Betrachtung";20
"Gesinnung";20
"Leiden";20
"Mittel";20
"Sitte";20
"Spieltrieb";20
"Zwang";20
"Achtung";19
"Auge";19
"Existenz";19
"Fessel";19
"Gewalt";19
"Gut";19
"Künstler";19
"Betragen";18
"Bild";18
"Mangel";18
"Rücksicht";18
"Zwecke";18
"Bürger";17
"Handeln";17
"Herrschaft";17
"Kopf";17
"Moralität";17
"Schritt";17
"Wahl";17
"Wert";17
"Willkür";17
"Abstraktion";16
"Folge";16
"Harmonie";16
"Möglichkeit";16
"Prinzip";16
"Quelle";16
"Seele";16
"Weise";16
"Wille";16
"Wissenschaft";16
"Eindruck";15
"Interesse";15
"Ruhe";15
"Selbsttätigkeit";15
"Unrecht";15
"Ursache";15
"Widerspruch";15
"Widerstand";15
"Augenblick";14
"Bestimmbarkeit";14
"Forderung";14
"Gebrauch";14
"Gegenwart";14
"Licht";14
"Maß";14
"Name";14
"Ordnung";14
"Philosoph";14
"Richtung";14
"Stück";14
"Ursprung";14
"Verdienst";14
"Vollkommenheit";14
"Wilde";14
"Affekt";13
"Arbeit";13
"Aufgabe";13
"Beispiel";13
"Beweis";13
"Denkkraft";13
"Epoche";13
"Erhabene";13
"Erklärung";13
"Herr";13
"Kenntnis";13
"Lust";13
"Mannigfaltigkeit";13
"Moment";13
"Phantasie";13
"Seite";13
"Stimme";13
"Stimmung";13
"Übergang";13
"Vergnügen";13
"Vorteil";13
"Weisheit";13
"Ausbildung";12
"Bewußtsein";12
"Devotion";12
"Einsicht";12
"Gesetzgebung";12
"Kampf";12
"Mann";12
"Notwendige";12
"Reiz";12
"Spur";12
"Stärke";12
"Unterschied";12
"Verfeinerung";12
"Versuch";12
"Wechsel";12
"Anschauung";11
"Anteil";11
"Aufmerksamkeit";11
"Frage";11
"Gottheit";11
"Meinung";11
"Operation";11
"Raum";11
"Rechte";11
"Regel";11
"Religion";11
"Stelle";11
"System";11
"Übereinstimmung";11
"Vorzug";11
"Abhängigkeit";10
"Anfang";10
"Aufklärung";10
"Ausschließung";10
"Empfinden";10
"Entgegensetzung";10
"Erschlaffung";10
"Ewigkeit";10
"Gott";10
"Hilfe";10
"Leidenschaft";10
"Nötigung";10
"Opfer";10
"Sinnenwelt";10
"Sittlichkeit";10
"Stufe";10
"Tag";10
"Tier";10
"Umgang";10
"Unendlichkeit";10
"Unterhaltung";10
"Vollendung";10
"Werkzeug";10
"Antrieb";9
"Ausdruck";9
"Band";9
"Befriedigung";9
"Bildung";9
"Bund";9
"Effekt";9
"Feind";9
"Freude";9
"Fülle";9
"Gefahr";9
"Gegenteil";9
"Gelegenheit";9
"Geschlecht";9
"Gesetzmäßigkeit";9
"Glück";9
"Glückseligkeit";9
"Joch";9
"Klasse";9
"Kreis";9
"Liebe";9
"Mühe";9
"Not";9
"Reflexion";9
"Satz";9
"Schicksal";9
"Selbständigkeit";9
"Ton";9
"Versuchung";9
"Vorschrift";9
"Vortrag";9
"Wohlgefallen";9
"Ausspruch";8
"Bedeutung";8
"Beziehung";8
"Blick";8
"Durchlauchtigster";8
"Ehrfurcht";8
"Eigenschaft";8
"Eigentum";8
"Empfänglichkeit";8
"Feld";8
"Freund";8
"Gebäude";8
"Gerechtigkeit";8
"Maxime";8
"Punkt";8
"Reinheit";8
"Resultat";8
"Sache";8
"Sein";8
"Sklave";8
"Sphäre";8
"Sprache";8
"Tendenz";8
"Überfluß";8
"Überzeugung";8
"Verbindung";8
"Vereinigung";8
"Verfassung";8
"Verwilderung";8
"Weltbürger";8
"Weltordnung";8
"Wildheit";8
"Wirken";8
"Ziel";8
"Zufall";8
"Anspannung";7
"Anspruch";7
"Anstrengung";7
"Bewegung";7
"Denker";7
"Dichter";7
"Einfalt";7
"Fehler";7
"Furcht";7
"Genie";7
"Gesundheit";7
"Gleichgewicht";7
"Glied";7
"Grazie";7
"Grundtrieb";7
"Hoffnung";7
"Instinkt";7
"Instrument";7
"Mut";7
"Nation";7
"Partei";7
"Reihe";7
"Rohheit";7
"Schriftsteller";7
"Sieg";7
"Thron";7
"Uhrwerk";7
"Unabhängigkeit";7
"Unendliche";7
"Verbindlichkeit";7
"Verderbnis";7
"Vorurteil";7
"Vorwurf";7
"Wunsch";7
"Zirkel";7
"Absicht";6
"Absolute";6
"Abspannung";6
"Alter";6
"Anblick";6
"Angenehme";6
"Ausübung";6
"Beschaffenheit";6
"Besitz";6
"Bestimmungslosigkeit";6
"Brust";6
"Entwicklung";6
"Ernst";6
"Erwartung";6
"Fähigkeit";6
"Ferne";6
"Fortsetzung";6
"Fürst";6
"Gang";6
"Geschenk";6
"Hindernis";6
"Irrtum";6
"Kindheit";6
"Körper";6
"Leser";6
"Mißbrauch";6
"Muster";6
"Naturgesetz";6
"Naturstand";6
"Naturtrieb";6
"Produkt";6
"Reichtum";6
"Schwäche";6
"Sohn";6
"Streit";6
"Takt";6
"Tiefe";6
"Tierheit";6
"Triebfeder";6
"Unvermögen";6
"Verfahren";6
"Wechselwirkung";6
"Wirksamkeit";6
"Wohl";6
"Zug";6
"Zweifel";6
"Angelegenheit";5
"Auflösung";5
"Äußerung";5
"Bande";5
"Barbar";5
"Barbarei";5
"Bedenken";5
"Behauptung";5
"Beifall";5
"Bemerkung";5
"Ehre";5
"Eifer";5
"Eigentümlichkeit";5
"Einschränkung";5
"Einzelne";5
"Empfindungsvermögen";5
"Entschluß";5
"Ereignis";5
"Ew.";5
"Faktum";5
"Feder";5
