"moot-lemma";"F"
"Mensch";223
"Natur";143
"Vernunft";119
"Freiheit";111
"Schönheit";109
"Zeit";100
"Geschmack";94
"Kraft";94
"Form";88
"Geist";88
"Menschheit";81
"Gesetz";77
"Empfindung";70
"Kunst";68
"Zustand";68
"Charakter";60
"Begriff";58
"Erfahrung";58
"Gefühl";58
"Wahrheit";58
"Brief";56
"Trieb";56
"Bedürfnis";52
"Schöne";52
"Welt";51
"Materie";48
"Durchlaucht";47
"Kultur";45
"Sinn";45
"Gemüt";44
"Idee";43
"Prinz";43
"Fall";42
"Person";40
"Teil";39
"Gegenstand";38
"Herz";38
"Staat";38
"Tugend";38
"Verstand";38
"Willen";38
"Leben";37
"Einheit";35
"Grundsatz";33
"Notwendigkeit";33
"Stoff";33
"Tätigkeit";33
"Wirkung";33
"Ganze";32
"Grund";32
"Handlung";31
"Wesen";31
"Vermögen";29
"Weg";29
"Erscheinung";28
"Gestalt";27
"Hand";26
"Inhalt";26
"Veränderung";26
"Grenze";25
"Objekt";25
"Schranke";25
"Formtrieb";24
"Zeitalter";24
"Erkenntnis";23
"Jahrhundert";23
"Realität";23
"Sachetrieb";23
"Art";22
"Einfluß";22
"Gesellschaft";22
"Individuum";22
"Volk";22
"Bestimmung";21
"Neigung";21
"Persönlichkeit";21
"Pflicht";21
"Philosophie";21
"Sinnlichkeit";21
"Ding";20
"Gedanke";20
"Geschäft";20
"Macht";20
"Wirklichkeit";20
"Dasein";19
"Energie";19
"Ideal";19
"Spiel";19
"Untersuchung";19
"Verhältnis";19
"Anlage";18
"Gebiet";18
"Mittel";18
"Stand";18
"Tat";18
"Achtung";17
"Grad";17
"Gut";17
"Künstler";17
"Recht";17
"Wahl";17
"Wort";17
"Zweck";17
"Bürger";16
"Gattung";16
"Gesinnung";16
"Handeln";16
"Herrschaft";16
"Kopf";16
"Quelle";16
"Bedingung";15
"Betrachtung";15
"Bild";15
"Denken";15
"Sitte";15
"Spieltrieb";15
"Subjekt";15
"Würde";15
"Zwang";15
"Abstraktion";14
"Auge";14
"Betragen";14
"Gewalt";14
"Name";14
"Philosoph";14
"Prinzip";14
"Stück";14
"Vollkommenheit";14
"Vorstellung";14
"Widerspruch";14
"Wille";14
"Wissenschaft";14
"Arbeit";13
"Beispiel";13
"Eindruck";13
"Erhabene";13
"Folge";13
"Genuß";13
"Herr";13
"Moralität";13
"Seite";13
"Weise";13
"Werk";13
"Begierde";12
"Devotion";12
"Einbildungskraft";12
"Existenz";12
"Harmonie";12
"Interesse";12
"Kenntnis";12
"Leiden";12
"Mangel";12
"Mann";12
"Mannigfaltigkeit";12
"Phantasie";12
